star.name,num.exoplanets,exoplanet.name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,mass.10.24.kg,radius_multiplier,radius_wrt,radius.km,orbital_radius,orbital_period,eccentricity,detection_method,J2000.hr,J2K.m,J2K.s,Equatorial.Angle.sign,EA.degree,EA.m,EA.s,Error,sign,declination.radians,right.ascension.radians,x.pos,y.pos,z.pos
Kepler-929,1,Kepler-929 b,4277,14.738,Super Earth,2016,1.41,Earth,8.420802,1.11,Earth,7071.81,0.0192,0.0024640656,0,Transit,19,53,55.46,+,41,36,55.2,0.001,1,0.876678883276752,5.20947765908624,1304.72594135331,-2404.89937961664,3287.38166203428
Kepler-93,2,Kepler-93 b,313,9.996,Super Earth,2014,4.54426,Earth,27.139229572,1.569,Earth,9996.099,0.053,0.012867898,0,Transit,19,25,40.38,+,38,40,20.4,0.001,1,0.839241570821473,5.08620796289997,76.3550311258439,-194.65254612525,232.91478164498
Kepler-93,2,Kepler-93 c,313,9.996,Gas Giant,2014,3,Jupiter,5694.39,,"",,,4,0,Radial Velocity,19,25,40.38,+,38,40,20.4,0.001,1,0.839241570821473,5.08620796289997,76.3550311258439,-194.65254612525,232.91478164498
Kepler-930,1,Kepler-930 b,2767,13.89,Neptune-like,2016,5.18,Earth,30.935996,2.13,Earth,13570.23,0.3475,0.19575633,0,Transit,19,53,15.46,+,42,14,50.7,0.001,1,0.797811817702258,5.20656877699958,916.426282752094,-1700.96284704774,1980.70120443353
Kepler-931,1,Kepler-931 b,1598,14.643,Super Earth,2016,2.33,Earth,13.915226,1.33,Earth,8473.43,0.0719,0.021902807,0,Transit,19,48,31.84,+,42,46,5.8,0.001,1,0.934172937719532,5.18594334856414,433.242881546028,-845.441863861294,1284.96406970018
Kepler-932,1,Kepler-932 b,1519,14.308,Super Earth,2016,2.45,Earth,14.63189,1.37,Earth,8728.27,0.0279,0.005201916,0,Transit,19,47,48.49,+,43,16,19,0.001,1,0.821686467428497,5.18279084760272,468.845006116742,-922.067312977363,1112.35661124394
Kepler-933,1,Kepler-933 b,3318,15.614,Neptune-like,2016,6.62,Earth,39.535964,0.219,Jupiter,15310.509,0.1041,0.03887748,0,Transit,19,18,16.46,+,43,32,18.9,0.001,1,0.891492365303054,5.05392518950224,698.18499273211,-1964.13860749406,2581.43782541338
Kepler-934,1,Kepler-934 b,1986,15.238,Super Earth,2016,5.02,Earth,29.980444,2.09,Earth,13315.39,0.2658,0.15249829,0,Transit,19,21,9.23,+,43,45,19.1,0.001,1,0.948230110403303,5.06648937845504,401.560423437794,-1086.23129313769,1613.39604689515
Kepler-935,1,Kepler-935 b,1539,15.01,Super Earth,2016,2.39,Earth,14.273558,1.35,Earth,8600.85,0.0527,0.013415469,0,Transit,19,40,5.2,+,46,37,9,0.001,1,0.964948910196365,5.14909944805454,370.681800504979,-794.145494892439,1265.0885090445
Kepler-936,1,Kepler-936 b,2686,14.84,Super Earth,2016,2.7,Earth,16.12494,1.45,Earth,9237.95,0.0954,0.02902122,0,Transit,19,34,18.67,+,46,44,10.7,0.001,1,0.995615799594949,5.1238990753173,584.44981711801,-1339.1674244268,2253.80678422637
Kepler-937,2,Kepler-937 b,5126,15.405,Neptune-like,2016,13.4,Earth,80.02748,0.332,Jupiter,23210.452,0.3214,0.18535249,0,Transit,19,36,40.51,+,46,42,52.5,0.001,1,0.989928935115534,5.13421397119659,1151.67022295327,-2566.32010856641,4285.26927951214
Kepler-937,2,Kepler-937 c,5126,15.405,Neptune-like,2016,7.61,Earth,45.448442,0.238,Jupiter,16638.818,0.5545,0.41971254,0,Transit,19,36,40.51,+,46,42,52.5,0.001,1,0.989928935115534,5.13421397119659,1151.67022295327,-2566.32010856641,4285.26927951214
Kepler-938,1,Kepler-938 b,3856,15.148,Neptune-like,2016,5.56,Earth,33.205432,2.22,Earth,14143.62,0.2689,0.14401095,0,Transit,19,39,9.37,+,46,59,2.1,0.001,1,1.0604402368961,5.14503937588209,789.756961149857,-1710.04953882341,3364.63230042827
Kepler-939,1,Kepler-939 b,6829,15.653,Super Earth,2016,3.71,Earth,22.156862,1.75,Earth,11149.25,0.1153,0.040793974,0,Transit,19,35,27.74,+,47,1,36.5,0.001,1,0.827322426471395,5.12892198746044,1870.10799519161,-4226.99167709878,5026.9750793154
Kepler-94,2,Kepler-94 b,626,13.071,Neptune-like,2014,10.84,Earth,64.738648,0.313,Jupiter,21882.143,0.03106,0.0068446267,0,Transit,18,44,46.74,+,47,29,49.7,0.001,1,0.950455405199596,4.90777422682233,70.6494981582694,-356.977708829781,509.363881531293
Kepler-94,2,Kepler-94 c,626,13.071,Gas Giant,2014,9.836,Jupiter,18670.00668,1.11,Jupiter,77601.21,,2.2,0,Radial Velocity,18,44,46.74,+,47,29,49.7,0.001,1,0.950455405199596,4.90777422682233,70.6494981582694,-356.977708829781,509.363881531293
Kepler-940,1,Kepler-940 b,4113,15.727,Neptune-like,2016,11.1,Earth,66.29142,0.298,Jupiter,20833.478,0.3059,0.1631759,0,Transit,19,36,57.9,+,47,16,33.3,0.001,1,0.89253956285425,5.13547860768377,1059.56088260934,-2353.09749309512,3202.66013245764
Kepler-941,1,Kepler-941 b,3550,15.803,Neptune-like,2016,9.69,Earth,57.870618,0.275,Jupiter,19225.525,0.1311,0.047638603,0,Transit,19,37,18.31,+,47,13,3.2,0.001,1,0.877260659694083,5.13696286476848,934.828674183747,-2067.88545219263,2729.91668490706
Kepler-942,1,Kepler-942 b,706,13.25,Neptune-like,2016,5.18,Earth,30.935996,2.13,Earth,13570.23,0.2298,0.123203285,0,Transit,19,39,49.22,+,44,8,59.4,0.001,1,0.807171145816078,5.14793734966092,205.988163966185,-442.648695401257,509.967654626649
Kepler-943,1,Kepler-943 b,7504,15.76,Neptune-like,2016,29.5,Earth,176.1799,0.529,Jupiter,36982.919,0.2559,0.13634497,0,Transit,18,57,5.74,+,41,32,6,0.001,1,0.85564766579022,4.96151582337332,1213.21143089581,-4768.68713389674,5665.48824400434
Kepler-944,1,Kepler-944 b,4402,15.636,Neptune-like,2016,7.41,Earth,44.254002,0.235,Jupiter,16429.085,0.2288,0.11854894,0,Transit,19,34,24.3,+,42,22,47.2,0.001,1,0.832463875559562,5.124308500471,1186.20954096502,-2714.96490896473,3255.6837174415
Kepler-945,1,Kepler-945 b,5386,15.599,Neptune-like,2016,7.41,Earth,44.254002,0.235,Jupiter,16429.085,0.2037,0.08487337,0,Transit,19,25,4.74,+,42,5,45.7,0.001,1,0.758178299271553,5.08361614896075,1418.64988912797,-3644.33278506013,3703.41289134942
Kepler-946,1,Kepler-946 b,3710,15.011,Super Earth,2016,4.38,Earth,26.158236,1.93,Earth,12296.03,0.1002,0.03230664,0,Transit,20,3,43.1,+,44,1,43.5,0.001,1,0.775471603276731,5.25221204582132,1361.68683556685,-2272.54926300783,2597.1963362531
Kepler-947,1,Kepler-947 b,5646,16.064,Neptune-like,2016,5.82,Earth,34.758204,0.203,Jupiter,14191.933,0.1773,0.07392197,0,Transit,19,37,28.01,+,42,15,9.5,0.001,1,0.799178992282987,5.1376682686745,1624.27971165017,-3586.2422111772,4046.96160360987
Kepler-948,1,Kepler-948 b,2831,14.811,Super Earth,2016,4.08,Earth,24.366576,1.85,Earth,11786.35,0.0749,0.021355236,0,Transit,19,33,12.05,+,41,31,23.9,0.001,1,0.852586067394013,5.11905433220198,736.870233271387,-1710.97641400476,2131.69954966406
Kepler-949,1,Kepler-949 b,1586,14.718,Neptune-like,2016,8.8,Earth,52.55536,0.26,Jupiter,18176.86,0.0774,0.023819301,0,Transit,19,54,25.88,+,46,27,13.2,0.001,1,0.921621111515606,5.21168986391314,459.077153879732,-841.733228436018,1263.3801244805
Kepler-95,1,Kepler-95 b,1454,12.382,Neptune-like,2014,13,Earth,77.6386,0.305,Jupiter,21322.855,0.1017,0.031485286,0,Transit,18,57,55.78,+,44,23,52.8,0.001,1,0.872141027221567,4.96515483486373,233.876573243932,-905.479864524569,1113.33910531708
Kepler-950,1,Kepler-950 b,7051,16,Gas Giant,2016,0.188,Jupiter,356.84844,0.801,Jupiter,55998.711,0.3982,0.27022585,0,Transit,19,11,49.58,+,41,7,49.1,0.001,1,0.749698907988948,5.0257904819601,1590.98892839135,-4909.21508988447,4804.68130378975
Kepler-951,1,Kepler-951 b,1248,14.841,Neptune-like,2016,26.7,Earth,159.45774,0.499,Jupiter,34885.589,0.3091,0.19575633,0,Transit,19,10,57.01,+,38,6,52.4,0.001,1,0.693215690071281,5.02196748367771,292.457363227431,-914.321214079529,797.489440794168
Kepler-952,1,Kepler-952 b,4254,15.323,Gas Giant,2016,0.143,Jupiter,271.43259,0.682,Jupiter,47679.302,0.5183,0.35701573,0,Transit,19,1,29.26,+,41,59,38,0.001,1,0.975784495969163,4.98067953856021,632.077359644379,-2299.14344064556,3522.91550434601
Kepler-953,2,Kepler-953 c,845,11.871,Super Earth,2016,1.81,Earth,10.809682,1.19,Earth,7581.49,0.0862,0.024914443,0,Transit,19,15,53.17,+,44,37,28.3,0.001,1,0.931445860763291,5.04350484664731,163.911341256572,-476.802299683862,678.098546837886
Kepler-953,2,Kepler-953 b,845,11.871,Neptune-like,2016,16.5,Earth,98.5413,0.376,Jupiter,26286.536,0.392,0.24202602,0,Transit,19,15,53.17,+,44,37,28.3,0.001,1,0.931445860763291,5.04350484664731,163.911341256572,-476.802299683862,678.098546837886
Kepler-954,1,Kepler-954 b,704,13.095,Neptune-like,2016,5.99,Earth,35.773478,0.207,Jupiter,14471.577,0.118,0.04599589,0,Transit,19,43,26.25,+,47,56,22.2,0.001,1,1.06626527327464,5.1637202166426,148.431563888717,-306.235152715855,616.282485620553
Kepler-955,1,Kepler-955 b,1795,14.734,Neptune-like,2016,9.96,Earth,59.483112,0.279,Jupiter,19505.169,0.1083,0.039698835,0,Transit,19,13,53.15,+,40,16,11.2,0.001,1,0.768759357861769,5.0347767459463,408.77657951135,-1223.72993804346,1247.96303902766
Kepler-956,1,Kepler-956 b,1778,13.387,Neptune-like,2016,9.27,Earth,55.362294,0.268,Jupiter,18736.148,0.0596,0.014236824,0,Transit,19,30,7.4,+,49,3,42.2,0.001,1,0.871370173468602,5.10562620526945,438.60321399476,-1057.27219604995,1360.5464799606
Kepler-957,1,Kepler-957 b,2690,15.833,Neptune-like,2016,25.9,Earth,154.67998,0.491,Jupiter,34326.301,0.0559,0.01615332,0,Transit,19,20,37.52,+,48,49,8.3,0.001,1,1.05216446735956,5.06418336218084,459.471072276618,-1251.7488548966,2336.26007499294
Kepler-958,1,Kepler-958 b,1467,13.91,Super Earth,2016,4.9,Earth,29.26378,2.06,Earth,13124.26,0.0852,0.026830938,0,Transit,19,9,1.6,+,46,4,0.3,0.001,1,0.820326565052985,5.01357463163718,296.791583524326,-955.432545594547,1072.91770736056
Kepler-959,1,Kepler-959 b,2635,12.606,Neptune-like,2016,17.6,Earth,105.11072,0.391,Jupiter,27335.201,0.1633,0.04052019,0,Transit,19,28,41.08,+,40,48,40.9,0.001,1,0.910545542970658,5.09934883772644,609.869724696214,-1496.59256338648,2081.22430749673
Kepler-96,1,Kepler-96 b,401,10.568,Neptune-like,2014,8.46,Earth,50.524812,0.238,Jupiter,16638.818,0.1235,0.044353183,0,Transit,19,48,16.71,+,40,31,30.5,0.001,1,0.835612740418369,5.18484306391486,122.39643382409,-239.496608097005,297.424759724497
Kepler-960,1,Kepler-960 b,929,14.127,Neptune-like,2016,5.86,Earth,34.997092,0.204,Jupiter,14261.844,0.0414,0.008487337,0,Transit,18,45,49.73,+,46,44,47.2,0.001,1,0.998270154499023,4.91235498888829,99.9719889818227,-493.263416097234,780.857095606555
Kepler-961,1,Kepler-961 b,1873,14.204,Neptune-like,2016,7.04,Earth,42.044288,0.227,Jupiter,15869.797,0.1245,0.046269678,0,Transit,18,48,8.51,+,43,37,52.5,0.001,1,0.915752441905775,4.92244735528795,237.922151433805,-1115.93938504958,1485.32869720889
Kepler-962,1,Kepler-962 b,1342,13.68,Super Earth,2016,4.54,Earth,27.113788,1.97,Earth,12550.87,0.0984,0.033127997,0,Transit,19,41,15.15,+,46,14,14.9,0.001,1,0.865021538314473,5.15418635560358,372.175212657688,-786.87616498641,1021.40859212143
Kepler-963,1,Kepler-963 b,2517,15.091,Neptune-like,2016,7.56,Earth,45.149832,0.237,Jupiter,16568.907,0.0849,0.027378507,0,Transit,19,47,0.71,+,45,2,28,0.001,1,0.79616102711808,5.17931618795021,792.492728357978,-1572.07480387265,1798.83992798928
Kepler-964,1,Kepler-964 b,1483,14.061,Neptune-like,2016,5.14,Earth,30.697108,2.12,Earth,13506.52,0.1063,0.036960986,0,Transit,19,41,12.01,+,40,33,23.6,0.001,1,0.843837604518392,5.15395800835978,421.205499866571,-891.065446841562,1108.09624867482
Kepler-965,1,Kepler-965 b,1901,13.488,Neptune-like,2016,11.4,Earth,68.08308,0.302,Jupiter,21113.122,0.512,0.36769336,0,Transit,19,54,3.67,+,41,53,28.3,0.001,1,0.948899153283234,5.21007470713452,528.704058721956,-973.132293595522,1545.08464410609
